PPN_17	Порядок определения расходов предпринимателей для целей обложения ЕСН (по п. 3 ст. 237 НК РФ)
PPN_31	Порядок определения расходов предпринимателей для целей обложения НДФЛ (по п. 1 ст. 221 НК РФ)
PPN_34	Налоговая декларация (по ст. 80 НК РФ)
PPN_34	Уточненная налоговая декларация (по ст. 81 НК РФ)
PPN_34	Камеральная налоговая проверка (по ст. 88 НК РФ)
PPN_34	Выездная налоговая проверка (по ст. 89 НК РФ)
PPN_34	Доступ должностных лиц налоговых органов на территорию или в помещение налогоплательщика (по ст. 91 НК РФ)
PPN_34	Истребование документов (информации) о налогоплательщике, плательщике сборов и налоговом агенте или информации о конкретных сделках (по ст. 93.1 НК РФ)
PPN_34	Истребование документов при проведении налоговой проверки (по ст. 93 НК РФ)
PPN_34	Оформление результатов налоговой проверки (по ст. 100 НК РФ)
PPN_34	Вынесение решения по результатам рассмотрения материалов налоговой проверки (по ст. 101 НК РФ)
PPN_34	Участие свидетеля при осуществлении налогового контроля (по ст. 90 НК РФ)
PPN_34	Выемка документов и предметов как мероприятие налогового контроля (по ст. 94 НК РФ)
PPN_34	Осмотр как мероприятие налогового контроля (по ст. 92 НК РФ)
PPN_34	Вынесение решения по результатам мероприятий налогового контроля, отличных от налоговых проверок (по ст. 101.4 НК РФ)
PPN_34	Налоговая тайна (по ст. 102 НК РФ)
PPN_34	Досудебный (апелляционный) порядок обжалования решения налогового органа о привлечении к ответственности (об отказе в привлечении к ответственности) за совершение налогового правонарушения (по п. 2 ст. 138, до 03.08.2013 - п. 5 ст. 101.2 НК РФ)
PPN_34	Порядок обжалования актов налоговых органов (по ст. ст. 137, 138 НК РФ)
PPN_34	Порядок и сроки подачи жалобы в вышестоящий налоговый орган или вышестоящему должностному лицу (по ст. 139 НК РФ)
PPN_34	Рассмотрение жалобы вышестоящим налоговым органом или вышестоящим должностным лицом (по ст. 140 НК РФ)
PPN_34	Последствия изменения обязанности по уплате налога и сбора (по ст. 71 НК РФ)
PPN_34	Требование об уплате налога и сбора (по ст. 69 НК РФ)
PPN_34	Сроки направления требования об уплате налога и сбора (по ст. 70 НК РФ)
PPN_34	Исполнение обязанности по уплате налога или сбора (по ст. 45 НК РФ)
PPN_34	Взыскание налога (сбора, пеней, штрафа) за счет денежных средств на счетах организации или индивидуального предпринимателя (по ст. 46 НК РФ)
PPN_34	Взыскание налога (сбора, пени, штрафа) за счет иного имущества организации или индивидуального предпринимателя (по ст. 47 НК РФ)
PPN_34	Исполнение обязанности по уплате налогов и сборов (пеней, штрафов) при реорганизации юридического лица (по ст. 50 НК РФ)
PPN_34	Пеня (по ст. 75 НК РФ)
PPN_34	Арест имущества (по ст. 77 НК РФ)
PPN_34	Приостановление операций по счетам в банках организаций и индивидуальных предпринимателей (по ст. 76 НК РФ)
PPN_34	Зачет или возврат сумм излишне уплаченных налога, сбора, пеней, штрафа (по ст. 78 НК РФ)
PPN_34	Возврат сумм излишне взысканных налога, сбора, пеней и штрафа (по ст. 79 НК РФ)
PPN_34	Обстоятельства, исключающие вину лица в совершении налогового правонарушения (по ст. 111 НК РФ)
PPN_34	Обстоятельства, смягчающие и отягчающие ответственность за совершение налогового правонарушения (по ст. ст. 112, 114 НК РФ)
PPN_34	Срок давности привлечения к ответственности (по ст. 113 НК РФ)
PPN_34	Срок давности взыскания штрафов (по ст. 115 НК РФ)
PPN_34	Непредставление налоговой декларации (по ст. 119 НК РФ)
PPN_34	Неуплата или неполная уплата сумм налога (сбора) (по ст. 122 НК РФ)
PPN_34	Неправомерное несообщение сведений налоговому органу (по ст. 129.1 НК РФ)
PPN_34	Непредставление налоговому органу сведений, необходимых для осуществления налогового контроля (по ст. 126 НК РФ)
PPN_34	Нарушение порядка постановки на учет в налоговом органе (по ст. 116 НК РФ)
PPN_34	Нарушение срока представления сведений о счетах в банке (по ст. 118 НК РФ)
PPN_34	Грубое нарушение правил учета доходов и расходов и объектов налогообложения (по ст. 120 НК РФ)
PPN_34	Обстоятельства, исключающие изменение срока уплаты налога (по ст. 62 НК РФ)
PPN_34	Органы, уполномоченные принимать решения об изменении сроков уплаты налогов и сборов (по ст. 63 НК РФ)
PPN_34	Порядок и условия предоставления отсрочки или рассрочки по уплате налога и сбора (по ст. 64 НК РФ)
PPN_34	Уполномоченный представитель налогоплательщика (по ст. 29 НК РФ)
PPN_34	Обязанности налоговых органов (по ст. 32 НК РФ)
PPN_4	Плательщики НДС (по ст. 143 НК РФ)
PPN_4	Освобождение от обязанностей плательщика НДС (по ст. 145 НК РФ)
PPN_4	Объект обложения НДС (по ст. 146 НК РФ)
PPN_4	Место реализации товаров для целей НДС (по ст. 147 НК РФ)
PPN_4	Место реализации работ (услуг) для целей НДС (по ст. 148 НК РФ)
PPN_4	Операции, не подлежащие обложению (освобождаемые от обложения) НДС (по ст. 149 НК РФ)
